Time,Voltage(CH1),Voltage(CH2)
1.488e-07,0.64,-0.012
1.4960000000000002e-07,0.64,-0.008
1.504e-07,0.64,-0.012
1.512e-07,0.64,-0.016
1.52e-07,0.68,-0.012
1.5280000000000002e-07,0.68,-0.012
1.536e-07,0.68,-0.012
1.544e-07,0.68,-0.012
1.5520000000000001e-07,0.68,-0.012
1.56e-07,0.68,-0.012
1.568e-07,0.72,-0.012
1.576e-07,0.72,-0.012
1.5840000000000002e-07,0.72,-0.012
1.592e-07,0.72,-0.008
1.6e-07,0.68,-0.016
1.608e-07,0.72,-0.012
1.6160000000000002e-07,0.72,-0.012
1.624e-07,0.72,-0.012
1.632e-07,0.72,-0.016
1.64e-07,0.72,-0.016
1.648e-07,0.72,-0.012
1.656e-07,0.72,-0.012
1.664e-07,0.76,-0.012
1.6720000000000001e-07,0.76,-0.012
1.68e-07,0.72,-0.012
1.688e-07,0.76,-0.016
1.696e-07,0.76,-0.012
1.7040000000000002e-07,0.72,-0.012
1.712e-07,0.76,-0.012
1.72e-07,0.72,-0.012
1.728e-07,0.8,-0.012
1.7360000000000002e-07,0.76,-0.012
1.744e-07,0.8,-0.016
1.752e-07,0.8,-0.016
1.7600000000000001e-07,0.84,-0.012
1.768e-07,0.8,-0.012
1.776e-07,0.8,-0.012
1.784e-07,0.8,-0.008
1.7920000000000002e-07,0.84,-0.012
1.8e-07,0.84,-0.016
1.808e-07,0.84,-0.012
1.816e-07,0.84,-0.016
1.8240000000000002e-07,0.84,-0.008
1.832e-07,0.84,-0.008
1.84e-07,0.84,-0.008
1.8480000000000001e-07,0.88,-0.008
1.856e-07,0.88,-0.008
1.864e-07,0.84,-0.012
1.872e-07,0.88,-0.004
1.8800000000000002e-07,0.88,-0.012
1.888e-07,0.84,-0.012
1.896e-07,0.88,-0.012
1.904e-07,0.92,-0.012
1.9120000000000002e-07,0.88,-0.016
1.92e-07,0.92,-0.012
1.928e-07,0.92,-0.012
1.936e-07,0.96,-0.012
1.9440000000000002e-07,0.92,-0.016
1.952e-07,0.88,-0.016
1.96e-07,0.88,-0.012
1.9680000000000002e-07,0.96,-0.012
1.976e-07,0.96,-0.012
1.984e-07,0.96,-0.012
1.992e-07,0.96,-0.012
2.0000000000000002e-07,0.96,-0.016
2.008e-07,0.96,-0.012
2.016e-07,0.96,-0.016
2.024e-07,0.96,-0.016
2.0320000000000002e-07,0.92,-0.016
2.04e-07,0.96,-0.016
2.048e-07,0.96,-0.016
2.0560000000000001e-07,0.96,-0.016
2.064e-07,0.96,-0.012
2.072e-07,1.0,-0.012
2.08e-07,0.96,-0.012
2.0880000000000002e-07,1.0,-0.012
2.096e-07,1.0,-0.012
2.104e-07,1.0,-0.008
2.112e-07,0.96,-0.016
2.1200000000000002e-07,1.04,-0.012
2.128e-07,1.04,-0.012
2.136e-07,1.04,-0.016
2.1440000000000001e-07,1.04,-0.012
2.152e-07,1.08,-0.012
2.16e-07,1.08,-0.012
2.168e-07,1.0,-0.008
2.1760000000000002e-07,1.08,-0.012
2.184e-07,1.04,-0.012
2.192e-07,1.04,-0.008
2.2e-07,1.04,-0.012
2.2080000000000002e-07,1.08,-0.012
2.216e-07,1.08,-0.012
2.224e-07,1.04,-0.016
2.2320000000000001e-07,1.08,-0.012
2.2400000000000002e-07,1.04,-0.012
2.248e-07,1.12,-0.008
2.256e-07,1.08,-0.008
2.2640000000000002e-07,1.08,-0.012
2.272e-07,1.12,-0.012
2.28e-07,1.12,-0.012
2.288e-07,1.16,-0.012
2.2960000000000002e-07,1.12,-0.012
2.304e-07,1.12,-0.012
2.312e-07,1.12,-0.016
2.32e-07,1.12,-0.012
2.3280000000000002e-07,1.08,-0.016
2.336e-07,1.08,-0.012
2.344e-07,1.16,-0.016
2.3520000000000001e-07,1.16,-0.016
2.36e-07,1.16,-0.012
2.368e-07,1.16,-0.012
2.376e-07,1.16,-0.02
2.3840000000000002e-07,1.12,-0.012
